AGE_GROUP,YEAR_DIAG,n,sex,POB_STANDAR,POB
7,2015,0,2,6000,6861
8,2015,0,2,6000,6580
9,2015,0,2,6000,6110
10,2015,2,2,6000,5102
11,2015,3,2,5000,5108
12,2015,3,2,4000,4200
13,2015,7,2,4000,3296
14,2015,0,2,3000,2078
15,2015,4,2,2000,1416
16,2015,4,2,1000,966
17,2015,6,2,1000,1307
