AGE_GROUP,YEAR_DIAG,n,sex,POB_STANDAR,POB
17,2007,7,2,1000,4176
1,2008,0,2,12000,22254
2,2008,0,2,10000,21981
3,2008,0,2,9000,23206
4,2008,0,2,9000,23918
5,2008,0,2,8000,21972
6,2008,1,2,8000,21672
7,2008,0,2,6000,21934
8,2008,0,2,6000,19428
9,2008,2,2,6000,17987
10,2008,5,2,6000,17673
11,2008,3,2,5000,15592
12,2008,4,2,4000,12249
13,2008,7,2,4000,8508
14,2008,5,2,3000,6492
15,2008,9,2,2000,5110
16,2008,7,2,1000,4319
17,2008,15,2,1000,4498
1,2009,0,2,12000,22761
2,2009,0,2,10000,21756
3,2009,0,2,9000,22813
4,2009,0,2,9000,24067
5,2009,0,2,8000,22568
6,2009,0,2,8000,21921
7,2009,0,2,6000,21987
8,2009,0,2,6000,20185
9,2009,0,2,6000,17921
10,2009,1,2,6000,18031
11,2009,6,2,5000,15844
12,2009,5,2,4000,13006
13,2009,9,2,4000,8869
14,2009,5,2,3000,6642
15,2009,6,2,2000,5197
16,2009,11,2,1000,4271
17,2009,7,2,1000,4831
1,2010,0,2,12000,23399
2,2010,0,2,10000,21547
3,2010,0,2,9000,22437
4,2010,0,2,9000,23989
5,2010,0,2,8000,23292
6,2010,0,2,8000,22167
7,2010,0,2,6000,21985
8,2010,0,2,6000,20892
9,2010,0,2,6000,18031
10,2010,3,2,6000,18228
11,2010,6,2,5000,16086
12,2010,4,2,4000,13694
13,2010,8,2,4000,9315
14,2010,8,2,3000,6811
15,2010,13,2,2000,5307
16,2010,4,2,1000,4221
17,2010,12,2,1000,5142
1,2011,0,2,12000,23961
2,2011,0,2,10000,21398
3,2011,0,2,9000,22118
4,2011,0,2,9000,23787
5,2011,0,2,8000,24075
6,2011,0,2,8000,22478
7,2011,0,2,6000,22060
8,2011,1,2,6000,21504
9,2011,0,2,6000,18386
10,2011,3,2,6000,18228
11,2011,4,2,5000,16415
12,2011,6,2,4000,14173
13,2011,6,2,4000,9949
14,2011,11,2,3000,7013
15,2011,12,2,2000,5431
16,2011,5,2,1000,4184
17,2011,7,2,1000,5428
1,2012,0,2,12000,24199
2,2012,0,2,10000,21491
3,2012,0,2,9000,21848
4,2012,0,2,9000,23497
5,2012,0,2,8000,24725
6,2012,0,2,8000,22918
7,2012,0,2,6000,22236
